"No.","Ticker","Company","Sector","Industry","Index","Market Cap","P/E","Forward P/E","PEG","P/S","P/B","P/Cash","P/Free Cash Flow","Book/sh","Cash/sh","Dividend","Dividend Yield","Payout Ratio","EPS (ttm)","EPS growth this year","Sales growth past 5 years","Sales growth quarter over quarter","EPS growth quarter over quarter","Sales","Income","Shares Outstanding","Shares Float","Float Short","Short Ratio","Short Interest","Return on Assets","Return on Equity","Return on Investment","Current Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Performance (Quarter)","Performance (Half Year)","Performance (Year)","Performance (YTD)","20-Day Simple Moving Average","50-Day Simple Moving Average","200-Day Simple Moving Average","52-Week High","Relative Volume","Volume","Price","Change"
1600,"GHY","PGIM Global High Yield Fund, Inc","Financial","Closed-End Fund - Debt","-",441.98,,,,,,,,,,1.26,11.67%,,-1.52,,,,,,,40.92,40.85,0.06%,0.18,0.03,,,,,,,,,,-6.82%,-2.35%,-10.74%,-0.37%,-0.68%,-0.99%,-3.18%,-14.83%,0.52,70926,10.80,0.93%
1601,"GHYB","Goldman Sachs Access High Yield Corporate Bond ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,2.48,5.85%,,,,,,,,,,,,,,,,,,,,,,,-0.31%,-0.90%,-5.09%,1.13%,-0.58%,-0.73%,-0.20%,-7.25%,0.17,3806,42.38,0.64%
1602,"GIC","Global Industrial Company","Industrials","Industrial Distribution","-",973.08,13.95,12.68,0.78,0.85,4.47,20.19,16.98,5.70,1.26,0.80,3.14%,40.20%,1.83,11.10%,8.00%,-5.10%,-39.20%,1151.30,69.60,38.10,16.33,1.11%,1.59,0.18,14.80%,34.30%,37.70%,2.20,0.00,0.00,35.80%,8.10%,6.10%,-8.87%,1.11%,-22.08%,8.29%,4.47%,0.44%,-4.54%,-31.72%,0.33,37522,25.48,0.71%
1603,"GIGB","Goldman Sachs Access Investment Grade Corporate Bond ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.48,3.31%,,,,,,,,,,,,,,,,,,,,,,,0.60%,-0.51%,-5.99%,1.11%,-1.04%,-1.56%,-0.40%,-6.69%,0.30,15083,44.70,0.38%
1604,"GII","SPDR S&P Global Infrastructure ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.61,3.03%,,,,,,,,,,,,,,,,,,,,,,,-0.77%,-2.34%,-8.71%,1.03%,-3.67%,-3.22%,-0.96%,-9.98%,0.81,24642,52.96,0.61%
1605,"GIII","G-III Apparel Group, Ltd.","Consumer Cyclical","Apparel Manufacturing","-",831.36,,6.03,,0.26,0.59,4.34,,29.41,3.99,,,,-2.92,-168.90%,2.80%,14.20%,-667.20%,3226.70,-133.10,47.12,41.26,9.40%,6.67,3.88,-4.50%,-8.70%,-5.30%,2.90,0.35,0.45,34.10%,-3.30%,-4.10%,5.67%,-19.48%,-23.29%,26.33%,6.78%,10.17%,2.83%,-38.41%,0.41,238150,17.32,3.22%
1606,"GIL","Gildan Activewear Inc.","Consumer Cyclical","Apparel Manufacturing","-",5078.62,10.50,8.39,3.38,1.60,2.68,40.21,,10.58,0.71,0.74,2.62%,25.60%,2.70,-4.50%,3.30%,-9.30%,-29.50%,3168.50,492.80,179.54,175.76,2.50%,7.57,4.40,14.20%,26.30%,19.90%,3.10,0.56,0.65,28.70%,18.00%,15.60%,-9.48%,-1.73%,-4.03%,3.47%,-5.69%,-9.45%,-6.49%,-17.41%,0.77,448109,28.35,2.02%
1607,"GILD","Gilead Sciences, Inc.","Healthcare","Drug Manufacturers - General","NDX, S&P 500",95384.22,17.43,10.73,7.74,3.53,4.58,16.24,20.50,16.82,4.75,3.00,3.89%,66.00%,4.42,-26.20%,0.90%,-3.60%,5215.80%,27043.00,5583.00,1248.00,1234.53,1.46%,3.34,17.98,8.90%,26.70%,13.10%,1.30,1.09,1.20,79.20%,32.70%,20.60%,-4.70%,-9.75%,18.58%,-10.20%,-2.46%,-4.77%,-1.09%,-14.10%,1.01,5438692,77.09,-0.72%
1608,"GINN","Goldman Sachs Innovate Equity ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.35,0.75%,,,,,,,,,,,,,,,,,,,,,,,4.72%,8.96%,6.15%,14.16%,2.13%,2.41%,6.75%,-4.10%,2.67,31649,46.59,1.69%
1609,"GIS","General Mills, Inc.","Consumer Defensive","Packaged Foods","S&P 500",49934.73,18.17,18.75,2.58,2.50,4.87,80.71,39.39,17.27,1.04,2.16,2.57%,45.50%,4.63,16.90%,4.00%,13.00%,-14.40%,19955.40,2801.80,592.50,584.30,2.03%,4.02,11.85,9.00%,27.00%,13.50%,0.50,0.80,1.13,33.00%,18.70%,14.00%,3.95%,1.69%,21.54%,0.39%,-5.00%,-2.91%,3.45%,-7.38%,0.80,2363853,84.18,-0.39%
1610,"GK","AdvisorShares Gerber Kawasaki ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.20,1.17%,,,,,,,,,,,,,,,,,,,,,,,-0.89%,-1.00%,-3.00%,11.53%,2.25%,1.69%,0.82%,-18.66%,1.17,8719,16.71,1.52%
1611,"GKOS","Glaukos Corporation","Healthcare","Medical Devices","-",2701.91,,,,9.35,5.16,8.50,,10.62,6.45,,,,-2.92,-95.70%,12.20%,9.20%,-765.80%,289.10,-139.20,47.88,45.82,11.96%,13.82,5.48,-13.90%,-25.90%,-9.40%,6.70,0.70,0.00,75.80%,-43.30%,-48.20%,15.45%,15.62%,37.71%,25.57%,-1.40%,6.33%,9.19%,-10.09%,0.63,248702,54.85,-0.69%
1612,"GLDM","SPDR Gold MiniShares","Financial","Exchange Traded Fund","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15%,11.19%,4.88%,6.83%,-2.53%,-2.23%,6.49%,-5.41%,0.55,787476,38.66,0.39%
1613,"GLIN","VanEck India Growth Leaders ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.55,1.60%,,,,,,,,,,,,,,,,,,,,,,,7.24%,1.68%,4.76%,5.40%,2.72%,5.83%,3.69%,-3.54%,0.62,2146,34.42,1.89%
1614,"GLL","ProShares UltraShort Gold","Financial","Exchange Traded Fund","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.91%,-16.80%,-7.19%,-10.17%,5.70%,5.52%,-11.25%,-29.28%,0.65,66996,27.84,-0.61%
1615,"GLP","Global Partners LP","Energy","Oil & Gas Midstream","-",1056.31,2.98,8.63,,0.06,1.63,148.78,5.33,18.23,0.20,2.62,8.83%,18.30%,9.96,663.40%,16.20%,-10.40%,-7.70%,18407.70,339.20,33.99,27.05,1.74%,4.43,0.47,11.20%,56.40%,24.90%,1.20,1.58,1.98,6.00%,2.50%,1.80%,-15.94%,-4.67%,5.70%,-12.51%,-2.34%,-2.23%,-3.22%,-22.48%,0.34,35742,29.68,0.07%
1616,"GLPI","Gaming and Leisure Properties, Inc.","Real Estate","REIT - Specialty","-",12397.58,16.37,16.35,1.95,9.17,3.27,1823.17,,14.38,0.03,2.88,6.12%,103.98%,2.88,19.30%,6.20%,12.80%,45.20%,1351.90,748.30,261.79,246.04,1.63%,3.54,4.01,,,10.10%,,1.69,1.69,96.10%,,,-12.02%,-7.50%,4.16%,-9.20%,-5.10%,-6.53%,-6.53%,-14.21%,0.53,606219,47.08,0.53%
1617,"GLSI","Greenwich LifeSciences, Inc.","Healthcare","Biotechnology","-",141.33,,,,,10.22,10.47,,1.06,1.03,,,,-0.61,-71.60%,,,-26.20%,,-7.80,12.45,5.91,4.09%,5.52,0.24,-47.40%,-48.10%,,51.20,0.00,0.00,,,,-27.36%,-16.88%,36.23%,-28.75%,-4.18%,-9.38%,-13.15%,-49.63%,0.38,16596,10.83,0.28%
1618,"GLTR","abrdn Physical Precious Metals Basket Shares ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.03%,5.44%,0.34%,0.56%,-3.34%,-2.91%,3.23%,-6.58%,0.29,12527,89.73,0.87%
1619,"GLW","Corning Incorporated","Technology","Electronic Components","S&P 500",26779.06,29.66,13.09,3.61,1.96,2.23,23.37,,14.13,1.35,1.12,3.55%,100.90%,1.06,20.10%,7.00%,-13.60%,-69.70%,13687.00,911.00,844.00,763.28,0.81%,1.41,6.21,3.10%,7.80%,5.40%,1.40,0.56,0.57,30.90%,8.50%,6.70%,-8.10%,-7.05%,-6.44%,-1.28%,0.20%,-4.25%,-5.69%,-16.43%,0.86,3766293,31.53,1.58%
1620,"GM","General Motors Company","Consumer Cyclical","Auto Manufacturers","S&P 500",46617.32,5.15,5.11,0.33,0.29,0.67,1.65,,50.06,20.14,0.36,1.08%,4.20%,6.47,-8.50%,1.50%,11.10%,25.00%,160741.00,9297.00,1396.00,1349.91,2.45%,2.31,33.02,3.60%,13.90%,4.30%,1.10,1.11,1.64,13.90%,6.20%,5.80%,-15.31%,-17.00%,-7.48%,-1.04%,1.58%,-1.59%,-9.73%,-23.70%,0.95,13650037,33.29,2.72%
1621,"GME","GameStop Corp.","Consumer Cyclical","Specialty Retail","-",7402.57,,,,1.25,5.36,5.32,141.54,4.34,4.37,,,,-1.03,21.60%,-7.10%,-1.20%,132.60%,5927.20,-313.10,304.50,256.96,22.31%,12.82,57.32,-10.10%,-23.40%,-23.70%,1.70,0.02,0.03,23.10%,-5.30%,-5.30%,21.73%,-12.92%,-19.25%,25.95%,9.73%,9.57%,-1.54%,-51.55%,0.50,2252445,23.25,-0.43%
1622,"GMED","Globus Medical, Inc.","Healthcare","Medical Devices","-",5364.46,26.77,20.41,2.30,5.02,2.77,10.64,45.85,19.09,4.98,,,0.00%,1.98,28.70%,10.00%,20.00%,31.40%,1069.00,201.20,100.28,76.58,10.05%,5.37,7.70,9.90%,11.10%,9.50%,6.40,0.00,0.00,74.20%,22.20%,18.80%,-10.04%,-25.60%,-19.64%,-28.73%,-6.47%,-5.85%,-16.73%,-33.87%,0.86,1236499,52.93,-0.26%
1623,"GMF","SPDR S&P Emerging Asia Pacific ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,2.44,2.49%,,,,,,,,,,,,,,,,,,,,,,,-0.33%,3.39%,-1.97%,2.01%,-0.14%,-0.67%,0.36%,-9.10%,5.80,61041,97.95,1.45%
1624,"GMS","GMS Inc.","Industrials","Building Products & Equipment","-",2768.14,8.60,9.71,3.91,0.52,2.25,14.83,7.00,29.60,4.50,,,0.00%,7.75,155.80%,14.90%,7.00%,9.80%,5313.80,333.90,41.58,40.80,2.47%,4.18,1.01,10.40%,28.90%,14.60%,2.50,0.95,0.99,32.30%,9.50%,6.30%,9.21%,36.06%,42.34%,33.88%,9.76%,15.92%,27.04%,1.55%,0.84,203150,66.67,2.25%
1625,"GNE","Genie Energy Ltd.","Utilities","Utilities - Regulated Electric","-",394.27,8.74,,,1.18,2.06,3.59,,7.57,4.35,0.30,1.92%,13.89%,1.78,249.40%,,22.60%,-43.40%,334.90,47.20,25.33,20.84,1.80%,3.01,0.37,,,,2.40,0.00,0.00,42.10%,,,32.68%,60.06%,113.56%,50.77%,2.84%,7.59%,37.32%,-7.53%,1.51,188135,15.59,4.35%
1626,"GNK","Genco Shipping & Trading Limited","Industrials","Marine Shipping","-",540.99,4.52,4.59,,1.09,0.57,12.18,15.46,22.25,1.03,0.60,4.77%,91.40%,2.78,-13.50%,20.70%,-30.70%,-93.70%,495.10,119.50,42.63,39.76,6.12%,2.53,2.43,10.20%,12.50%,,3.10,0.17,0.00,44.90%,26.20%,24.10%,-35.07%,-13.53%,-49.42%,-18.03%,-9.48%,-15.63%,-17.88%,-53.63%,0.94,900331,12.59,-0.47%
1627,"GNLX","Genelux Corporation","Healthcare","Biotechnology","-",569.28,,,,51.29,218.18,55.27,,0.11,0.43,,,,-0.20,69.40%,,,,11.10,-5.20,24.67,19.88,0.35%,0.72,0.07,,,40.40%,1.10,0.52,1.33,,-50.90%,,92.00%,,,290.24%,-5.04%,-10.96%,15.33%,-38.89%,0.19,18252,24.00,-3.23%
1628,"GNMA","iShares GNMA Bond ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.15,2.64%,,,,,,,,,,,,,,,,,,,,,,,-0.42%,-1.40%,-6.98%,-0.08%,-1.57%,-1.90%,-1.48%,-8.19%,0.39,34945,43.47,-0.03%
1629,"GNOM","Global X Genomics & Biotechnology ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.88%,-4.99%,7.37%,-2.13%,-2.26%,-0.02%,-4.90%,-26.09%,0.84,73764,12.38,0.49%
1630,"GNR","SPDR S&P Global Natural Resources ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,2.49,4.69%,,,,,,,,,,,,,,,,,,,,,,,-7.68%,-10.64%,-14.62%,-6.79%,-3.30%,-5.14%,-5.79%,-16.82%,0.48,148602,53.15,0.80%
1631,"GNTX","Gentex Corporation","Consumer Cyclical","Auto Parts","-",6336.79,19.20,12.88,1.22,3.17,2.93,26.28,,9.21,1.03,0.48,1.78%,35.94%,1.41,-9.60%,1.30%,17.60%,12.90%,2001.50,323.80,233.70,232.59,1.20%,2.49,2.79,,,15.40%,3.40,0.00,0.00,31.20%,,,-5.47%,-5.76%,-9.25%,-1.06%,-2.92%,-1.37%,-1.35%,-14.29%,0.80,892747,26.98,1.39%
1632,"GNTY","Guaranty Bancshares, Inc.","Financial","Banks - Regional","-",307.13,8.03,11.07,,2.28,1.01,1.94,20.21,25.10,13.03,0.92,3.63%,28.00%,3.15,2.60%,11.40%,43.20%,-21.30%,134.50,38.00,11.94,8.84,0.86%,2.20,0.08,1.10%,13.00%,27.60%,,0.16,0.00,,78.20%,28.30%,-19.87%,-28.13%,-28.96%,-26.91%,7.10%,-0.13%,-21.29%,-33.17%,0.65,22557,25.32,2.55%
1633,"GO","Grocery Outlet Holding Corp.","Consumer Defensive","Grocery Stores","-",2876.45,43.60,25.48,4.00,0.77,2.53,35.04,27.29,11.51,0.83,,,0.00%,0.67,3.60%,11.50%,16.10%,17.20%,3712.10,67.20,97.92,88.83,10.37%,8.60,9.21,2.40%,6.10%,5.60%,1.40,0.28,0.29,30.80%,2.70%,1.80%,5.42%,-4.52%,-23.26%,-0.07%,-3.21%,0.55%,-7.19%,-37.09%,0.71,764557,29.17,0.21%
1634,"GOAU","U.S. Global GO GOLD and Precious Metal Miners ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.24,1.38%,,,,,,,,,,,,,,,,,,,,,,,15.27%,12.00%,0.40%,11.93%,-9.68%,-7.48%,10.09%,-16.86%,0.66,26022,17.36,0.17%
1635,"GOCO","GoHealth, Inc.","Financial","Insurance Brokers","-",346.68,,,,0.64,0.60,10.73,20.16,29.39,1.65,,,,-16.61,34.30%,,-32.30%,41.20%,544.20,-144.40,8.96,4.35,11.04%,7.28,0.48,-8.10%,-48.00%,-41.00%,1.80,1.86,1.93,69.60%,-54.90%,-26.50%,7.51%,96.68%,75.12%,69.95%,27.09%,29.21%,55.69%,-14.20%,0.58,38322,17.76,4.78%
1636,"GODNU","Golden Star Acquisition Corporation Unit","Financial","Shell Companies","-",64.42,,,,,10290.00,,,0.00,0.00,,,,-0.00,67.40%,,,,,0.00,6.28,4.47,0.05%,0.00,0.00,,,,1.00,,,,,,,,,1.38%,1.00%,1.00%,1.00%,0.39%,0.00,1069,10.29,0.39%
1637,"GOEX","Global X Gold Explorers ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.26,1.04%,,,,,,,,,,,,,,,,,,,,,,,3.01%,0.33%,-12.75%,-0.65%,-9.10%,-10.44%,0.17%,-19.12%,0.13,1022,24.62,0.82%
1638,"GOF","Guggenheim Strategic Opportunities Fund","Financial","Closed-End Fund - Debt","-",1792.43,,,,,,,,,,2.19,14.12%,,-1.36,,,,,,,115.79,115.79,1.08%,2.74,1.25,,,,,,,,,,-10.00%,-2.52%,-7.47%,1.71%,-2.88%,-3.48%,-4.71%,-14.10%,0.98,446750,15.48,1.84%
1639,"GOGO","Gogo Inc.","Communication Services","Telecom Services","-",1925.65,22.13,21.94,3.51,4.70,,10.24,32.86,-0.68,1.46,,,0.00%,0.68,-44.20%,-10.40%,6.30%,-7.50%,409.90,90.30,129.14,95.45,4.68%,9.16,4.47,12.20%,-77.90%,21.60%,4.60,,,65.40%,34.00%,22.00%,3.96%,-5.67%,-20.76%,1.36%,10.56%,7.62%,1.93%,-31.31%,1.02,497578,14.96,2.82%
1640,"GOLD","Barrick Gold Corporation","Basic Materials","Gold","-",29740.82,278.52,15.08,41.57,2.75,1.31,6.79,,12.94,2.50,0.40,2.35%,264.58%,0.06,-78.50%,5.60%,-7.40%,-72.20%,10803.00,114.00,1755.00,1750.87,1.33%,1.34,23.29,0.20%,0.50%,4.70%,2.70,0.21,0.21,28.70%,13.30%,1.10%,6.39%,5.02%,-18.88%,-1.11%,-10.19%,-10.23%,-0.47%,-18.96%,0.64,11066154,16.99,-0.59%
1641,"GOLF","Acushnet Holdings Corp.","Consumer Cyclical","Leisure","-",3158.45,15.02,14.51,3.00,1.34,3.09,55.12,,14.47,0.81,0.78,1.74%,24.50%,2.98,15.60%,7.80%,13.20%,23.90%,2350.50,211.50,68.21,31.97,18.11%,18.07,5.79,9.60%,21.10%,15.10%,2.70,0.79,0.84,52.20%,12.80%,9.00%,-8.36%,0.34%,15.22%,5.39%,-6.92%,-9.00%,-6.01%,-17.30%,0.84,269319,44.75,0.86%
1642,"GOOD","Gladstone Commercial Corporation","Real Estate","REIT - Diversified","-",490.47,,,,3.27,2.38,34.30,,4.73,0.33,1.20,10.65%,,-0.10,37.40%,9.50%,3.10%,-314.80%,150.00,-4.10,39.92,39.35,2.69%,3.58,1.06,-0.30%,-2.00%,3.30%,,3.96,3.96,78.10%,21.60%,-2.70%,-20.24%,-39.38%,-43.42%,-39.08%,-1.17%,-5.27%,-29.68%,-46.71%,0.61,181602,11.27,1.53%
1643,"GOODO","Gladstone Commercial Corporation","Real Estate","REIT - Diversified","-",478.57,,,,,,,,,,1.50,9.68%,,,,,,,,,4.00,4.00,0.05%,0.11,0.00,,,,,,,,,,-18.85%,-16.53%,-30.07%,-21.32%,-2.01%,-8.89%,-21.21%,-37.50%,0.29,5329,15.50,0.78%
1644,"GOOS","Canada Goose Holdings Inc.","Consumer Cyclical","Apparel Manufacturing","-",2433.19,23.40,8.91,1.13,2.00,3.57,8.49,35.31,4.49,1.89,,,0.00%,0.69,-20.60%,15.50%,31.40%,67.20%,1217.00,72.70,104.52,53.43,27.30%,10.35,14.59,4.70%,17.60%,9.10%,2.40,1.39,1.61,67.00%,11.10%,6.00%,-13.49%,-10.55%,-16.42%,-9.99%,-16.09%,-14.58%,-14.27%,-35.18%,0.98,1383776,16.03,-0.74%
1645,"GPCR","Structure Therapeutics Inc.","Healthcare","Biotechnology","-",1137.60,,,,,3.23,4.72,,9.90,6.78,,,,-1.37,-20.70%,,,2.80%,,,23.89,12.39,1.19%,2.64,0.15,,,,22.40,0.00,0.00,,,,33.33%,,,23.08%,28.94%,32.34%,33.09%,6.67%,2.80,155495,32.00,9.97%
1646,"GPK","Graphic Packaging Holding Company","Consumer Cyclical","Packaging & Containers","-",7551.13,12.29,7.99,0.71,0.78,3.30,66.82,14.81,7.48,0.37,0.40,1.62%,17.40%,2.01,146.30%,16.50%,8.60%,93.50%,9633.00,622.00,308.60,303.65,3.07%,3.23,9.31,6.00%,30.00%,9.60%,1.60,2.37,2.39,20.80%,10.80%,6.50%,3.82%,9.43%,18.68%,11.06%,-2.96%,-1.05%,6.86%,-5.52%,0.72,2071331,24.71,-0.60%
1647,"GPN","Global Payments Inc.","Industrials","Specialty Business Services","S&P 500",26728.98,,8.46,,2.93,1.19,13.35,20.21,83.93,7.49,1.00,1.00%,245.71%,-0.47,-87.70%,17.70%,6.30%,-104.80%,9111.70,-144.30,263.12,260.24,1.44%,1.83,3.75,-0.30%,-0.60%,1.30%,0.90,0.75,0.82,58.60%,3.50%,-1.60%,-11.95%,-0.20%,-20.34%,0.65%,-3.18%,-3.80%,-8.91%,-26.97%,0.87,1781777,99.97,0.46%
1648,"GPOR","Gulfport Energy Corporation","Energy","Oil & Gas E&P","-",1820.46,1.51,3.76,,0.77,2.30,249.38,7.01,43.17,0.40,,,0.00%,65.99,212.00%,0.20%,27.20%,25.50%,2370.10,1302.20,19.20,18.50,5.11%,6.73,0.94,12.40%,102.40%,35.70%,0.50,0.84,0.00,94.70%,,12.60%,48.71%,21.91%,-0.14%,34.94%,5.58%,16.27%,20.31%,-8.08%,0.75,105659,99.37,-0.51%
1649,"GPP","Green Plains Partners LP","Energy","Oil & Gas Midstream","-",290.37,7.26,,0.48,3.57,,16.04,116.15,0.00,0.78,1.82,14.48%,104.20%,1.73,0.60%,-5.70%,8.90%,-4.30%,81.40,40.20,23.23,11.43,2.67%,4.58,0.31,33.00%,,77.30%,1.20,,,,56.60%,49.40%,-1.49%,2.61%,0.24%,-3.01%,-1.22%,-1.57%,-1.83%,-12.71%,0.53,35608,12.57,-0.55%
1650,"GPRE","Green Plains Inc.","Basic Materials","Chemicals","-",1789.91,,14.49,,0.48,2.16,,,14.06,,,,,-2.44,-61.90%,2.20%,6.60%,-3.30%,3714.40,-136.10,58.55,57.33,10.28%,6.63,5.90,-6.40%,-15.00%,-6.70%,1.70,0.60,0.86,3.70%,-2.90%,-3.70%,-13.80%,-10.66%,-6.54%,-0.26%,-3.80%,-4.06%,-6.02%,-26.25%,0.48,423174,30.42,-2.41%
1651,"GQRE","FlexShares Global Quality Real Estate Index Fund","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.53,3.00%,,,,,,,,,,,,,,,,,,,,,,,-6.72%,-6.10%,-17.16%,-3.24%,-3.06%,-2.74%,-5.78%,-19.65%,0.35,4729,50.93,0.64%
1652,"GRBK","Green Brick Partners, Inc.","Consumer Cyclical","Residential Construction","-",2216.60,7.75,8.67,4.50,1.22,2.07,12.50,8.75,23.21,3.84,,,0.00%,6.20,61.70%,30.80%,14.90%,14.60%,1816.20,291.60,45.95,42.99,3.33%,3.54,1.43,17.70%,29.60%,19.60%,,0.35,0.00,29.70%,20.00%,16.10%,57.03%,96.56%,107.88%,98.18%,0.72%,20.24%,63.21%,-10.61%,1.04,422560,48.02,-1.27%
1653,"GRC","The Gorman-Rupp Company","Industrials","Specialty Industrial Machinery","-",660.08,63.98,16.27,4.27,1.14,1.96,54.11,,12.68,0.46,0.70,2.81%,177.20%,0.39,-62.50%,6.60%,57.00%,-13.70%,579.30,10.20,26.13,22.65,0.89%,3.33,0.20,1.20%,3.10%,4.00%,2.50,1.26,1.32,26.10%,7.50%,1.80%,-10.05%,-10.14%,-12.97%,-2.85%,-0.44%,1.69%,-4.58%,-19.81%,0.55,33196,24.89,0.89%
1654,"GREK","Global X MSCI Greece ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.75,2.17%,,,,,,,,,,,,,,,,,,,,,,,6.72%,32.43%,33.29%,29.99%,6.80%,9.97%,25.19%,0.14%,0.83,72684,34.63,1.58%
1655,"GRES","IQ Global Resources ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.29,3.99%,,,,,,,,,,,,,,,,,,,,,,,-6.55%,-6.38%,-7.38%,-5.59%,-3.22%,-4.13%,-3.29%,-12.15%,0.72,3860,32.23,0.69%
1656,"GRID","First Trust NASDAQ Clean Edge Smart Grid Infrastructure Index Fund","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.05,1.06%,,,,,,,,,,,,,,,,,,,,,,,4.45%,7.15%,19.12%,13.61%,1.88%,3.04%,9.86%,0.09%,0.48,25997,99.11,1.50%
1657,"GRN","iPath Series B Carbon ETN","Financial","Exchange Traded Fund","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.87%,6.41%,2.37%,2.38%,-4.73%,-7.50%,-1.64%,-17.19%,0.82,6701,32.38,0.56%
1658,"GRNB","VanEck Green Bond ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.63,2.72%,,,,,,,,,,,,,,,,,,,,,,,0.69%,0.78%,-4.25%,0.82%,-1.05%,-1.13%,0.05%,-4.73%,0.54,8544,23.18,0.04%
1659,"GSBC","Great Southern Bancorp, Inc.","Financial","Banks - Regional","-",623.05,7.88,8.98,1.31,2.47,1.11,2.93,,45.53,17.21,1.60,3.17%,24.20%,6.40,10.40%,4.40%,53.10%,27.30%,251.80,79.40,12.20,9.01,2.40%,6.31,0.22,1.40%,14.80%,27.70%,,0.18,0.18,,80.40%,31.50%,-13.63%,-17.92%,-13.04%,-15.13%,0.55%,-0.72%,-12.03%,-21.31%,0.60,20666,50.49,0.42%
1660,"GSBD","Goldman Sachs BDC, Inc.","Financial","Asset Management","-",1431.79,31.69,6.27,,3.70,0.87,30.33,,15.11,0.43,1.80,13.72%,434.90%,0.41,-71.60%,21.20%,37.20%,-31.90%,386.60,42.90,104.59,102.62,1.51%,2.36,1.55,1.20%,2.80%,6.50%,,1.22,1.22,61.00%,58.60%,11.10%,-20.00%,-15.74%,-25.92%,-4.37%,-0.73%,-2.97%,-12.75%,-29.31%,0.35,229387,13.12,0.85%
1661,"GSEU","Goldman Sachs ActiveBeta Europe Equity ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,1.00,3.00%,,,,,,,,,,,,,,,,,,,,,,,4.28%,13.77%,9.64%,11.53%,-2.05%,-0.38%,9.60%,-3.81%,0.29,513,33.27,1.04%
1662,"GSFP","Goldman Sachs Future Planet Equity ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.24,0.78%,,,,,,,,,,,,,,,,,,,,,,,-0.94%,-0.29%,0.79%,5.14%,-1.05%,-0.71%,1.64%,-6.43%,0.23,404,30.86,0.90%
1663,"GSG","iShares S&P GSCI Commodity-Indexed Trust","Financial","Exchange Traded Fund","-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.01%,-8.85%,-21.36%,-8.76%,0.39%,-1.99%,-7.28%,-26.88%,0.60,329008,19.37,1.15%
1664,"GSHD","Goosehead Insurance, Inc","Financial","Insurance - Diversified","-",2068.92,424.85,37.24,8.58,9.15,74.64,84.10,,0.74,0.66,,,0.00%,0.13,-90.00%,37.40%,40.40%,96.90%,226.10,2.80,23.21,19.99,10.83%,9.78,2.16,,,7.30%,,4.94,5.37,,,,25.18%,37.83%,12.94%,60.83%,-4.84%,1.50%,22.18%,-22.26%,0.41,91909,55.23,-0.41%
1665,"GSIE","Goldman Sachs ActiveBeta International Equity ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.92,2.96%,,,,,,,,,,,,,,,,,,,,,,,1.61%,6.13%,1.91%,7.61%,-1.63%,-0.40%,6.13%,-2.95%,0.91,389121,30.97,0.91%
1666,"GSJY","Goldman Sachs ActiveBeta Japan Equity ETF","Financial","Exchange Traded Fund","-",,,,,,,,,,,0.64,1.94%,,,,,,,,,,,,,,,,,,,,,,,8.35%,8.74%,4.94%,10.01%,0.50%,2.63%,8.53%,-1.76%,0.13,143,33.19,0.12%
1667,"GSK","GSK plc","Healthcare","Drug Manufacturers - General","-",69560.96,12.51,8.73,2.50,1.93,4.73,8.04,681.97,7.24,4.26,1.39,4.07%,0.00%,2.74,50.50%,-0.60%,-3.30%,-16.40%,36088.70,5385.10,2024.46,1988.34,0.19%,1.29,3.72,21.80%,122.20%,18.10%,1.00,1.41,1.77,70.40%,21.40%,50.30%,-1.67%,1.63%,-25.21%,-2.56%,-5.08%,-5.24%,-0.01%,-25.13%,0.77,2207667,34.24,0.38%
